embedded	make-dynpart-mappings	https://deb.debian.org/debian/pool/main/m/make-dynpart-mappings/make-dynpart-mappings_10.2.4-1+b2_arm64.deb	7372
embedded	matchbox-common	https://deb.debian.org/debian/pool/main/m/matchbox-common/matchbox-common_0.9.1+git20070606-1_all.deb	30096
embedded	matchbox-desktop	https://deb.debian.org/debian/pool/main/m/matchbox-desktop/matchbox-desktop_2.2+git20200512-3_arm64.deb	31364
embedded	matchbox-keyboard	https://deb.debian.org/debian/pool/main/m/matchbox-keyboard/matchbox-keyboard_0.2+git20160713-1.1+b2_arm64.deb	45092
embedded	matchbox-keyboard-im	https://deb.debian.org/debian/pool/main/m/matchbox-keyboard/matchbox-keyboard-im_0.2+git20160713-1.1+b2_arm64.deb	10412
fonts	fonts-3270	https://deb.debian.org/debian/pool/main/3/3270font/fonts-3270_3.0.1-1_all.deb	184620
fonts	aglfn	https://deb.debian.org/debian/pool/main/a/aglfn/aglfn_1.7+git20191031.4036a9c-2_all.deb	30548
fonts	bdf2sfd	https://deb.debian.org/debian/pool/main/b/bdf2sfd/bdf2sfd_1.1.9-1_arm64.deb	11196
fonts	bdflib	https://deb.debian.org/debian/pool/main/b/bdflib/bdflib_2.1.0-1_all.deb	36152
fonts	birdfont	https://deb.debian.org/debian/pool/main/b/birdfont/birdfont_2.33.6-1_arm64.deb	725216
fonts	fonts-campania	https://deb.debian.org/debian/pool/main/c/campania/fonts-campania_2.009-2_all.deb	123568
games	0ad-data-common	https://deb.debian.org/debian/pool/main/0/0ad-data/0ad-data-common_0.27.0-1_all.deb	779452
games	2048	https://deb.debian.org/debian/pool/main/2/2048/2048_1.0.3-1_arm64.deb	15552
games	2048-qt	https://deb.debian.org/debian/pool/main/2/2048-qt/2048-qt_0.1.6-2+b4_arm64.deb	1392956
games	3dchess	https://deb.debian.org/debian/pool/main/3/3dchess/3dchess_0.8.1-23_arm64.deb	35752
games	7kaa	https://deb.debian.org/debian/pool/main/7/7kaa/7kaa_2.15.6+ds-2_arm64.deb	659348
games	a7xpg	https://deb.debian.org/debian/pool/main/a/a7xpg/a7xpg_0.11.dfsg1-12_arm64.deb	62068
